objID,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag
161911100132845568,110.013259770,44.929173750,0.0028,0.0048,19.9431,0.0288,19.5688,0.0093,19.4262,0.0055,19.3034,0.0289,19.2678,0.0321
161891100043874705,110.004370620,44.911761580,0.1167,0.0832,21.9447,0.1788,21.5668,0.0287,21.7006,0.0737,,,,
161911100007731884,110.000914550,44.926021180,0.0376,0.0376,21.0659,0.0007,20.5385,0.0764,20.4881,0.0879,,,,
161891099958446604,109.995942720,44.913357160,0.0652,0.0505,21.9593,0.1863,21.7970,0.0268,21.5886,0.0391,21.0696,0.1919,,
161921100317892876,110.031841160,44.935173440,0.0053,0.0053,21.4518,0.0403,20.3261,0.0161,19.0013,0.0057,18.3749,0.0195,18.0233,0.0177
161941100174192052,110.017407750,44.951182160,0.0083,0.0076,22.5400,,20.6060,,20.4077,0.0149,18.9780,0.0113,18.1885,0.0136
161931100199784720,110.019992620,44.945066070,0.0012,0.0050,19.4330,0.0109,18.4849,0.0058,18.0286,0.0048,17.8080,0.0108,17.6589,0.0117
161951100035478388,110.003534640,44.964801580,0.0037,0.0099,21.0724,0.0335,19.8324,0.0070,18.9592,0.0062,18.5363,0.0070,18.3499,0.0239
161941100200849667,110.020068050,44.957522880,0.0094,0.0101,21.3485,0.0374,20.5553,0.0208,20.2326,0.0093,20.0976,0.0461,19.8772,0.1844
161921100237760100,110.023786540,44.932920960,0.0019,0.0081,14.4944,0.0048,13.7291,0.0059,13.4160,,13.2571,0.0036,13.1299,0.0094
161931100232970307,110.023303810,44.941385520,0.0140,0.0314,21.8255,0.1313,20.9091,0.0294,19.3908,0.0048,18.6977,0.0105,18.3694,0.0116
161941100124276751,110.012422140,44.955117340,0.0024,0.0091,19.1248,0.0100,18.0214,0.0046,17.5137,0.0024,17.2850,0.0068,17.1112,0.0163
161931099531989891,109.953091130,44.949375930,0.0678,0.0531,21.7229,0.0608,21.5783,0.0899,21.7159,0.0711,21.3237,0.1712,,
161941099652871132,109.965309520,44.950406850,0.0267,0.0292,21.9805,0.0150,21.3430,0.0427,21.1154,0.0625,21.0035,0.1387,,
161931099694270425,109.969415560,44.941474940,0.0064,0.0024,18.2889,0.0063,17.6328,0.0059,17.3805,0.0031,17.2691,0.0097,17.1960,0.0062
161911099861358153,109.986078720,44.931266900,0.0015,0.0062,19.4381,0.0133,18.7118,0.0059,18.4208,0.0054,18.3063,0.0051,18.2307,0.0196
161921099841316693,109.984041860,44.938388550,0.0057,0.0078,19.9083,0.0315,19.1081,0.0263,18.9422,0.0165,18.4105,0.0635,18.2731,0.0289
161931099823389640,109.982300800,44.949138480,0.0129,0.0152,22.0267,0.0116,20.6157,0.0383,20.0876,0.0179,19.7874,0.0590,19.5449,0.0887
161931099768610326,109.976848810,44.941428750,0.0142,0.0184,21.5652,0.1113,20.8657,0.0376,20.5485,0.0225,20.4844,0.0713,20.6017,0.1456
161921099761392728,109.976087080,44.935118990,0.0258,0.0197,21.8959,0.1792,21.2286,0.0377,20.7718,0.0296,20.4306,0.0908,,
161931099730483711,109.973101570,44.944283820,0.0338,0.0359,21.7199,0.0407,21.3069,0.0386,20.8994,0.0444,20.6346,0.0690,,
161951099560101673,109.956029340,44.959259260,0.1002,0.0584,22.0126,0.1819,21.7078,0.0498,21.5541,0.0916,21.0328,0.1521,,
161931099769305831,109.976889520,44.946092180,0.0352,0.0387,21.6732,0.0059,21.6122,0.0896,21.4672,0.0827,21.2559,0.1467,,
161931099515685666,109.951461090,44.945851870,0.0115,0.0085,21.8309,0.0735,20.5779,0.0271,19.7201,0.0162,19.3090,0.0326,19.0010,0.0666
161911099764253566,109.976409370,44.927411540,0.0720,0.0720,21.7737,0.1772,,,21.2126,0.1649,,,19.1019,0.0727
161921099833133889,109.983218930,44.936058840,0.0059,0.0087,21.6669,0.0686,20.3506,0.0193,19.2312,0.0089,18.6997,0.0120,18.4291,0.0139
161961099801429952,109.980187780,44.974104530,0.0714,0.0714,20.4816,0.0756,21.9584,0.1876,,,20.8814,0.1793,,
161951099758286724,109.975821750,44.963422650,0.0028,0.0057,19.7261,0.0106,18.8661,0.0095,18.5264,0.0046,18.3738,0.0098,18.2572,0.0307
161941099904802834,109.990510870,44.951780900,0.0067,0.0049,19.5849,0.0113,18.9923,0.0096,18.7443,0.0076,18.6415,0.0147,18.5610,0.0152
161961100025355099,110.002491990,44.970386370,0.0024,0.0030,19.8346,0.0128,19.2483,0.0086,19.0599,0.0049,18.9590,0.0222,18.8518,0.0187
161941099931640531,109.993126200,44.949948660,0.0137,0.0174,21.5047,0.0549,20.7818,0.0348,20.3628,0.0174,20.1680,0.0544,19.9051,0.1187
161951100413527384,110.041356650,44.963996060,0.0515,0.0622,22.0466,0.1934,21.4305,0.0472,21.3540,0.0471,21.2232,0.0639,,
161981100156174866,110.015614270,44.986861290,0.0052,0.0022,18.1506,0.0050,17.7242,0.0044,17.5679,0.0039,17.5237,0.0051,17.4730,0.0138
161951100241393556,110.024138550,44.960701070,0.0043,0.0097,19.0651,0.0114,18.7203,0.0070,18.5914,0.0067,18.5573,0.0112,18.5350,0.0270
161961100469275211,110.046904540,44.970463140,0.0383,0.0323,21.5639,0.0621,21.7150,0.0153,21.5281,0.0604,21.1111,0.0211,20.7926,0.1812
